Team,League,Game Week,Possession,Passing Accuracy,Shots on Target,Saves
Dortmund,German Bundesliga,J4,56%,495 of 588 — 84%,4 of 12 — 33%,0 of 0 — %
Wolfsburg,German Bundesliga,J4,44%,82% — 379 of 460,0% — 0 of 9,75% — 3 of 4
Bayern Munich,German Bundesliga,J5,59%,610 of 701 — 87%,11 of 25 — 44%,3 of 3 — 100%
Werder Bremen,German Bundesliga,J5,41%,79% — 382 of 485,33% — 3 of 9,72% — 8 of 11
Mainz 05,German Bundesliga,J5,49%,293 of 412 — 71%,2 of 8 — 25%,2 of 4 — 50%
Dortmund,German Bundesliga,J5,51%,76% — 328 of 432,40% — 4 of 10,100% — 2 of 2
St. Pauli,German Bundesliga,J5,50%,403 of 510 — 79%,5 of 13 — 38%,2 of 4 — 50%
Leverkusen,German Bundesliga,J5,50%,84% — 433 of 515,80% — 4 of 5,80% — 4 of 5
Wolfsburg,German Bundesliga,J5,50%,395 of 490 — 81%,4 of 22 — 18%,5 of 6 — 83%
RB Leipzig,German Bundesliga,J5,50%,79% — 385 of 486,32% — 6 of 19,100% — 4 of 4
Heidenheim,German Bundesliga,J5,48%,297 of 412 — 72%,5 of 11 — 45%,1 of 2 — 50%
Augsburg,German Bundesliga,J5,52%,79% — 352 of 447,25% — 2 of 8,60% — 3 of 5
Gladbach,German Bundesliga,J5,39%,319 of 408 — 78%,8 of 11 — 73%,1 of 7 — 14%
Eint Frankfurt,German Bundesliga,J5,61%,83% — 519 of 627,33% — 7 of 21,50% — 4 of 8
Freiburg,German Bundesliga,J5,43%,219 of 337 — 65%,1 of 6 — 17%,3 of 4 — 75%
Hoffenheim,German Bundesliga,J5,57%,74% — 332 of 449,27% — 4 of 15,0% — 0 of 1
Parma,Italian Serie A,J8,30%,191 of 271 — 70%,3 of 10 — 30%,2 of 2 — 100%
Como,Italian Serie A,J8,70%,88% — 562 of 637,33% — 2 of 6,100% — 3 of 3
Köln,German Bundesliga,J5,43%,328 of 416 — 79%,5 of 15 — 33%,3 of 4 — 75%
Stuttgart,German Bundesliga,J5,57%,83% — 456 of 551,29% — 4 of 14,80% — 4 of 5
Union Berlin,German Bundesliga,J5,35%,216 of 311 — 69%,1 of 10 — 10%,6 of 6 — 100%
Hamburger SV,German Bundesliga,J5,65%,86% — 496 of 579,38% — 6 of 16,100% — 1 of 1
Hoffenheim,German Bundesliga,J6,61%,454 of 572 — 79%,4 of 15 — 27%,3 of 4 — 75%
Köln,German Bundesliga,J6,39%,73% — 264 of 364,40% — 4 of 10,100% — 4 of 4
Dortmund,German Bundesliga,J6,51%,444 of 542 — 82%,3 of 15 — 20%,2 of 3 — 66%
RB Leipzig,German Bundesliga,J6,49%,82% — 438 of 531,23% — 3 of 13,66% — 2 of 3
Augsburg,German Bundesliga,J6,47%,313 of 423 — 74%,5 of 10 — 50%,3 of 4 — 75%
Wolfsburg,German Bundesliga,J6,53%,81% — 380 of 472,29% — 4 of 14,40% — 2 of 5
Werder Bremen,German Bundesliga,J6,41%,374 of 486 — 77%,5 of 15 — 33%,3 of 3 — 100%
St. Pauli,German Bundesliga,J6,59%,82% — 577 of 705,23% — 3 of 13,80% — 4 of 5
Leverkusen,German Bundesliga,J6,73%,769 of 849 — 91%,3 of 20 — 15%,3 of 3 — 100%
Union Berlin,German Bundesliga,J6,27%,71% — 222 of 314,30% — 3 of 10,33% — 1 of 3
Eint Frankfurt,German Bundesliga,J6,40%,394 of 491 — 80%,1 of 6 — 17%,0 of 3 — 0%
Bayern Munich,German Bundesliga,J6,60%,89% — 662 of 748,25% — 3 of 12,100% — 1 of 1
Stuttgart,German Bundesliga,J6,64%,560 of 668 — 84%,6 of 18 — 33%,1 of 1 — 100%
Heidenheim,German Bundesliga,J6,36%,71% — 268 of 379,20% — 1 of 5,83% — 5 of 6
Hamburger SV,German Bundesliga,J6,36%,214 of 321 — 67%,9 of 15 — 60%,4 of 4 — 100%
Mainz 05,German Bundesliga,J6,64%,82% — 467 of 573,36% — 4 of 11,55% — 5 of 9
Napoli,Italian Serie A,J8,43%,355 of 447 — 79%,2 of 6 — 33%,2 of 2 — 100%
Inter,Italian Serie A,J8,57%,85% — 492 of 582,14% — 2 of 14,0% — 0 of 2
Gladbach,German Bundesliga,J6,52%,418 of 496 — 84%,5 of 9 — 56%,1 of 1 — 100%
Freiburg,German Bundesliga,J6,48%,81% — 371 of 460,8% — 1 of 12,100% — 5 of 5
Union Berlin,German Bundesliga,J7,38%,220 of 324 — 68%,5 of 16 — 31%,1 of 2 — 50%
Gladbach,German Bundesliga,J7,62%,81% — 437 of 539,25% — 2 of 8,40% — 2 of 5
Wolfsburg,German Bundesliga,J7,41%,332 of 444 — 75%,3 of 11 — 27%,4 of 7 — 57%
Stuttgart,German Bundesliga,J7,59%,81% — 526 of 651,47% — 7 of 15,100% — 3 of 3
RB Leipzig,German Bundesliga,J7,47%,419 of 505 — 83%,4 of 10 — 40%,2 of 3 — 66%
Hamburger SV,German Bundesliga,J7,53%,82% — 471 of 571,20% — 3 of 15,50% — 2 of 4
Köln,German Bundesliga,J7,57%,405 of 551 — 74%,2 of 9 — 22%,3 of 3 — 100%
Augsburg,German Bundesliga,J7,43%,72% — 306 of 424,33% — 3 of 9,50% — 1 of 2
Heidenheim,German Bundesliga,J7,56%,425 of 530 — 80%,11 of 31 — 35%,2 of 4 — 50%
Werder Bremen,German Bundesliga,J7,44%,77% — 325 of 422,36% — 4 of 11,81% — 9 of 11
Mainz 05,German Bundesliga,J7,43%,312 of 436 — 72%,3 of 11 — 27%,3 of 6 — 50%
Leverkusen,German Bundesliga,J7,57%,80% — 470 of 584,32% — 6 of 19,33% — 1 of 3
Bayern Munich,German Bundesliga,J7,61%,544 of 626 — 87%,7 of 15 — 47%,0 of 1 — 0%
Dortmund,German Bundesliga,J7,39%,76% — 307 of 405,13% — 1 of 8,71% — 5 of 7
Freiburg,German Bundesliga,J7,51%,381 of 484 — 79%,5 of 12 — 42%,1 of 3 — 33%
Eint Frankfurt,German Bundesliga,J7,49%,75% — 345 of 459,38% — 3 of 8,60% — 3 of 5
St. Pauli,German Bundesliga,J7,50%,343 of 475 — 72%,2 of 10 — 20%,2 of 5 — 40%
Hoffenheim,German Bundesliga,J7,50%,79% — 373 of 473,36% — 5 of 14,100% — 2 of 2
Cremonese,Italian Serie A,J8,34%,197 of 301 — 65%,5 of 9 — 56%,5 of 6 — 83%
Atalanta,Italian Serie A,J8,66%,81% — 469 of 577,30% — 6 of 20,80% — 4 of 5
Werder Bremen,German Bundesliga,J8,57%,443 of 554 — 80%,3 of 16 — 19%,2 of 2 — 100%
Union Berlin,German Bundesliga,J8,43%,71% — 293 of 412,17% — 2 of 12,66% — 2 of 3
Hoffenheim,German Bundesliga,J8,59%,454 of 573 — 79%,7 of 14 — 50%,2 of 3 — 66%
Heidenheim,German Bundesliga,J8,41%,70% — 276 of 394,25% — 3 of 12,57% — 4 of 7
Augsburg,German Bundesliga,J8,50%,510 of 614 — 83%,2 of 15 — 13%,2 of 8 — 25%
RB Leipzig,German Bundesliga,J8,50%,86% — 528 of 611,53% — 8 of 15,100% — 2 of 2
Hamburger SV,German Bundesliga,J8,61%,447 of 569 — 79%,5 of 25 — 20%,1 of 2 — 50%
Wolfsburg,German Bundesliga,J8,39%,73% — 261 of 358,33% — 2 of 6,100% — 5 of 5
Eint Frankfurt,German Bundesliga,J8,51%,500 of 586 — 85%,6 of 10 — 60%,1 of 1 — 100%
St. Pauli,German Bundesliga,J8,49%,82% — 458 of 560,11% — 1 of 9,66% — 4 of 6
Gladbach,German Bundesliga,J8,18%,134 of 208 — 64%,0 of 0 — %,7 of 10 — 70%
Bayern Munich,German Bundesliga,J8,82%,91% — 863 of 948,37% — 10 of 27,% — 0 of 0
Dortmund,German Bundesliga,J8,69%,572 of 668 — 86%,9 of 27 — 33%,0 of 0 — %
Köln,German Bundesliga,J8,31%,74% — 221 of 297,0% — 0 of 5,88% — 8 of 9
Leverkusen,German Bundesliga,J8,69%,732 of 794 — 92%,4 of 19 — 21%,3 of 3 — 100%
Freiburg,German Bundesliga,J8,31%,79% — 282 of 356,30% — 3 of 10,50% — 2 of 4
Stuttgart,German Bundesliga,J8,59%,414 of 524 — 79%,8 of 19 — 42%,1 of 1 — 100%
Mainz 05,German Bundesliga,J8,41%,67% — 248 of 369,8% — 1 of 12,75% — 6 of 8
Augsburg,German Bundesliga,J9,48%,369 of 482 — 77%,1 of 9 — 11%,0 of 1 — 0%
Dortmund,German Bundesliga,J9,52%,80% — 422 of 530,20% — 1 of 5,100% — 1 of 1
Torino,Italian Serie A,J8,59%,430 of 552 — 78%,6 of 13 — 46%,2 of 3 — 66%
Genoa,Italian Serie A,J8,41%,76% — 291 of 384,27% — 3 of 11,83% — 5 of 6
Union Berlin,German Bundesliga,J9,38%,184 of 289 — 64%,2 of 11 — 18%,4 of 4 — 100%
Freiburg,German Bundesliga,J9,62%,81% — 389 of 479,31% — 4 of 13,100% — 2 of 2
Mainz 05,German Bundesliga,J9,47%,336 of 460 — 73%,4 of 10 — 40%,2 of 3 — 66%
Werder Bremen,German Bundesliga,J9,53%,78% — 402 of 514,60% — 3 of 5,75% — 3 of 4
RB Leipzig,German Bundesliga,J9,43%,348 of 448 — 78%,9 of 16 — 56%,3 of 4 — 75%
Stuttgart,German Bundesliga,J9,57%,84% — 507 of 605,29% — 4 of 14,77% — 7 of 9
Heidenheim,German Bundesliga,J9,28%,198 of 294 — 67%,4 of 9 — 44%,2 of 3 — 66%
Eint Frankfurt,German Bundesliga,J9,72%,84% — 635 of 760,19% — 3 of 16,75% — 3 of 4
St. Pauli,German Bundesliga,J9,57%,550 of 657 — 84%,4 of 16 — 25%,7 of 11 — 63%
Gladbach,German Bundesliga,J9,43%,86% — 431 of 499,73% — 11 of 15,100% — 4 of 4
Bayern Munich,German Bundesliga,J9,59%,633 of 712 — 89%,4 of 18 — 22%,1 of 1 — 100%
Leverkusen,German Bundesliga,J9,41%,86% — 424 of 495,14% — 1 of 7,50% — 2 of 4
Köln,German Bundesliga,J9,48%,344 of 423 — 81%,9 of 23 — 39%,4 of 5 — 80%
Hamburger SV,German Bundesliga,J9,52%,81% — 371 of 458,45% — 5 of 11,55% — 5 of 9
Wolfsburg,German Bundesliga,J9,48%,384 of 484 — 79%,6 of 12 — 50%,1 of 4 — 25%
Hoffenheim,German Bundesliga,J9,52%,79% — 405 of 515,40% — 4 of 10,66% — 4 of 6
Werder Bremen,German Bundesliga,J10,60%,529 of 644 — 82%,7 of 20 — 35%,3 of 4 — 75%
Wolfsburg,German Bundesliga,J10,40%,77% — 334 of 434,57% — 4 of 7,71% — 5 of 7
Union Berlin,German Bundesliga,J10,27%,184 of 297 — 62%,4 of 12 — 33%,2 of 4 — 50%
Bayern Munich,German Bundesliga,J10,73%,86% — 691 of 801,33% — 4 of 12,50% — 2 of 4
Sassuolo,Italian Serie A,J8,41%,274 of 370 — 74%,1 of 11 — 9%,7 of 8 — 87%
Roma,Italian Serie A,J8,59%,79% — 417 of 525,53% — 8 of 15,100% — 1 of 1
Hoffenheim,German Bundesliga,J10,49%,384 of 502 — 76%,4 of 12 — 33%,4 of 5 — 80%
RB Leipzig,German Bundesliga,J10,51%,80% — 409 of 514,29% — 5 of 17,25% — 1 of 4
Hamburger SV,German Bundesliga,J10,46%,346 of 445 — 78%,3 of 8 — 38%,0 of 1 — 0%
Dortmund,German Bundesliga,J10,54%,82% — 436 of 530,6% — 1 of 17,66% — 2 of 3
Leverkusen,German Bundesliga,J10,73%,886 of 957 — 93%,10 of 25 — 40%,0 of 0 — %
Heidenheim,German Bundesliga,J10,27%,80% — 277 of 347,0% — 0 of 1,40% — 4 of 10
Gladbach,German Bundesliga,J10,36%,295 of 372 — 79%,2 of 7 — 29%,4 of 4 — 100%
Köln,German Bundesliga,J10,64%,84% — 550 of 654,22% — 4 of 18,0% — 0 of 2
Freiburg,German Bundesliga,J10,60%,521 of 618 — 84%,4 of 8 — 50%,1 of 2 — 50%
St. Pauli,German Bundesliga,J10,40%,74% — 309 of 419,29% — 2 of 7,50% — 2 of 4
Stuttgart,German Bundesliga,J10,62%,498 of 619 — 80%,5 of 16 — 31%,4 of 6 — 66%
Augsburg,German Bundesliga,J10,38%,72% — 278 of 385,35% — 6 of 17,60% — 3 of 5
Eint Frankfurt,German Bundesliga,J10,55%,417 of 526 — 79%,4 of 14 — 29%,0 of 0 — %
Mainz 05,German Bundesliga,J10,45%,67% — 282 of 424,0% — 0 of 3,75% — 3 of 4
Mainz 05,German Bundesliga,J11,46%,292 of 432 — 68%,1 of 17 — 6%,4 of 4 — 100%
Hoffenheim,German Bundesliga,J11,54%,70% — 360 of 511,21% — 4 of 19,0% — 0 of 1
Bayern Munich,German Bundesliga,J11,71%,732 of 810 — 90%,8 of 22 — 36%,0 of 2 — 0%
Freiburg,German Bundesliga,J11,29%,74% — 247 of 334,25% — 2 of 8,25% — 2 of 8
Augsburg,German Bundesliga,J11,47%,375 of 454 — 83%,6 of 13 — 46%,5 of 5 — 100%
Hamburger SV,German Bundesliga,J11,53%,82% — 414 of 507,33% — 5 of 15,83% — 5 of 6
Hellas Verona,Italian Serie A,J8,38%,267 of 386 — 69%,6 of 10 — 60%,1 of 3 — 33%
Cagliari,Italian Serie A,J8,62%,83% — 532 of 641,43% — 3 of 7,66% — 4 of 6
Dortmund,German Bundesliga,J11,45%,354 of 455 — 78%,5 of 13 — 38%,3 of 6 — 50%
Stuttgart,German Bundesliga,J11,55%,81% — 446 of 550,40% — 6 of 15,60% — 3 of 5
Wolfsburg,German Bundesliga,J11,38%,350 of 434 — 81%,10 of 21 — 48%,0 of 3 — 0%
Leverkusen,German Bundesliga,J11,62%,89% — 625 of 705,43% — 3 of 7,90% — 9 of 10
Heidenheim,German Bundesliga,J11,49%,456 of 540 — 84%,2 of 7 — 29%,1 of 3 — 33%
Gladbach,German Bundesliga,J11,51%,87% — 493 of 567,20% — 3 of 15,100% — 2 of 2
Köln,German Bundesliga,J11,46%,431 of 525 — 82%,5 of 11 — 45%,3 of 7 — 42%
Eint Frankfurt,German Bundesliga,J11,54%,86% — 521 of 608,64% — 7 of 11,40% — 2 of 5
RB Leipzig,German Bundesliga,J11,52%,489 of 571 — 86%,12 of 22 — 55%,5 of 5 — 100%
Werder Bremen,German Bundesliga,J11,48%,85% — 444 of 523,33% — 5 of 15,83% — 10 of 12
St. Pauli,German Bundesliga,J11,59%,463 of 625 — 74%,3 of 12 — 25%,2 of 3 — 66%
Union Berlin,German Bundesliga,J11,41%,74% — 326 of 442,38% — 3 of 8,66% — 2 of 3
Gladbach,German Bundesliga,J12,42%,345 of 443 — 78%,0 of 7 — 0%,4 of 4 — 100%
RB Leipzig,German Bundesliga,J12,58%,87% — 535 of 612,20% — 4 of 20,% — 0 of 0
Union Berlin,German Bundesliga,J12,43%,256 of 376 — 68%,2 of 9 — 22%,0 of 2 — 0%
Heidenheim,German Bundesliga,J12,57%,76% — 378 of 500,20% — 2 of 10,50% — 1 of 2
Bayern Munich,German Bundesliga,J12,80%,966 of 1061 — 91%,4 of 19 — 21%,0 of 1 — 0%
St. Pauli,German Bundesliga,J12,20%,72% — 191 of 266,10% — 1 of 10,25% — 1 of 4
Hoffenheim,German Bundesliga,J12,59%,523 of 635 — 82%,3 of 17 — 18%,4 of 4 — 100%
Augsburg,German Bundesliga,J12,41%,71% — 311 of 439,29% — 4 of 14,33% — 1 of 3
Fiorentina,Italian Serie A,J8,50%,278 of 373 — 75%,4 of 17 — 24%,1 of 3 — 33%
Bologna,Italian Serie A,J8,50%,74% — 272 of 368,50% — 3 of 6,100% — 4 of 4
Werder Bremen,German Bundesliga,J12,49%,422 of 521 — 81%,4 of 17 — 24%,1 of 2 — 50%
Köln,German Bundesliga,J12,51%,84% — 452 of 539,20% — 2 of 10,75% — 3 of 4
Leverkusen,German Bundesliga,J12,63%,576 of 666 — 86%,4 of 14 — 29%,2 of 4 — 50%
Dortmund,German Bundesliga,J12,37%,79% — 314 of 395,57% — 4 of 7,75% — 3 of 4
Hamburger SV,German Bundesliga,J12,34%,221 of 314 — 70%,2 of 9 — 22%,2 of 3 — 66%
Stuttgart,German Bundesliga,J12,66%,84% — 504 of 599,21% — 3 of 14,0% — 0 of 2
Eint Frankfurt,German Bundesliga,J12,54%,414 of 536 — 77%,1 of 14 — 7%,2 of 3 — 66%
Wolfsburg,German Bundesliga,J12,46%,78% — 349 of 449,30% — 3 of 10,100% — 1 of 1
Freiburg,German Bundesliga,J12,74%,676 of 769 — 88%,9 of 23 — 39%,1 of 1 — 100%
Mainz 05,German Bundesliga,J12,26%,71% — 190 of 266,100% — 1 of 1,55% — 5 of 9
Mainz 05,German Bundesliga,J13,55%,446 of 572 — 78%,2 of 8 — 25%,4 of 4 — 100%
Gladbach,German Bundesliga,J13,45%,75% — 354 of 472,29% — 4 of 14,100% — 2 of 2
Augsburg,German Bundesliga,J13,33%,271 of 351 — 77%,6 of 13 — 46%,2 of 2 — 100%
Leverkusen,German Bundesliga,J13,67%,89% — 650 of 728,10% — 2 of 20,66% — 4 of 6
Köln,German Bundesliga,J13,59%,530 of 631 — 84%,7 of 11 — 64%,0 of 1 — 0%
St. Pauli,German Bundesliga,J13,41%,78% — 347 of 443,20% — 1 of 5,85% — 6 of 7
Stuttgart,German Bundesliga,J13,41%,323 of 414 — 78%,1 of 13 — 8%,5 of 9 — 55%
Bayern Munich,German Bundesliga,J13,59%,85% — 510 of 598,50% — 9 of 18,100% — 1 of 1
Wolfsburg,German Bundesliga,J13,43%,297 of 401 — 74%,3 of 4 — 75%,4 of 5 — 80%
Union Berlin,German Bundesliga,J13,57%,75% — 408 of 542,25% — 5 of 20,0% — 0 of 3
Juventus,Italian Serie A,J1,64%,483 of 549 — 88%,8 of 25 — 32%,1 of 1 — 100%
Parma,Italian Serie A,J1,36%,71% — 222 of 313,13% — 1 of 8,75% — 6 of 8
Lazio,Italian Serie A,J8,40%,290 of 372 — 78%,3 of 13 — 23%,5 of 5 — 100%
Juventus,Italian Serie A,J8,60%,83% — 459 of 551,36% — 5 of 14,66% — 2 of 3
Heidenheim,German Bundesliga,J13,39%,230 of 324 — 71%,3 of 16 — 19%,1 of 2 — 50%
Freiburg,German Bundesliga,J13,61%,77% — 398 of 514,13% — 2 of 16,33% — 1 of 3
RB Leipzig,German Bundesliga,J13,52%,430 of 519 — 83%,6 of 15 — 40%,2 of 2 — 100%
Eint Frankfurt,German Bundesliga,J13,48%,78% — 376 of 485,25% — 2 of 8,16% — 1 of 6
Hamburger SV,German Bundesliga,J13,53%,418 of 492 — 85%,6 of 12 — 50%,1 of 3 — 33%
Werder Bremen,German Bundesliga,J13,47%,80% — 343 of 431,30% — 3 of 10,50% — 3 of 6
Dortmund,German Bundesliga,J13,43%,315 of 421 — 75%,4 of 8 — 50%,3 of 3 — 100%
Hoffenheim,German Bundesliga,J13,57%,81% — 451 of 556,27% — 3 of 11,50% — 2 of 4
Union Berlin,German Bundesliga,J14,38%,243 of 361 — 67%,6 of 12 — 50%,2 of 3 — 66%
RB Leipzig,German Bundesliga,J14,62%,82% — 485 of 589,33% — 3 of 9,50% — 3 of 6
Hoffenheim,German Bundesliga,J14,59%,525 of 617 — 85%,6 of 10 — 60%,4 of 5 — 80%
Hamburger SV,German Bundesliga,J14,41%,79% — 332 of 422,38% — 5 of 13,33% — 2 of 6
Gladbach,German Bundesliga,J14,59%,523 of 646 — 81%,4 of 14 — 29%,3 of 6 — 50%
Wolfsburg,German Bundesliga,J14,41%,78% — 357 of 458,55% — 6 of 11,100% — 4 of 4
St. Pauli,German Bundesliga,J14,36%,262 of 373 — 70%,4 of 8 — 50%,6 of 7 — 85%
Heidenheim,German Bundesliga,J14,64%,80% — 525 of 655,35% — 7 of 20,50% — 2 of 4
Eint Frankfurt,German Bundesliga,J14,51%,413 of 513 — 81%,4 of 11 — 36%,1 of 1 — 100%
Augsburg,German Bundesliga,J14,49%,79% — 386 of 487,8% — 1 of 12,75% — 3 of 4
Leverkusen,German Bundesliga,J14,61%,537 of 622 — 86%,6 of 17 — 35%,4 of 4 — 100%
Köln,German Bundesliga,J14,39%,77% — 303 of 396,80% — 4 of 5,66% — 4 of 6
Lecce,Italian Serie A,J9,41%,313 of 398 — 79%,1 of 6 — 17%,2 of 3 — 66%
Napoli,Italian Serie A,J9,59%,86% — 486 of 566,21% — 3 of 14,100% — 1 of 1
Freiburg,German Bundesliga,J14,56%,455 of 557 — 82%,6 of 21 — 29%,3 of 4 — 75%
Dortmund,German Bundesliga,J14,44%,77% — 331 of 431,44% — 4 of 9,83% — 5 of 6
Bayern Munich,German Bundesliga,J14,84%,930 of 1039 — 90%,9 of 23 — 39%,0 of 2 — 0%
Mainz 05,German Bundesliga,J14,16%,59% — 114 of 193,40% — 2 of 5,88% — 8 of 9
Werder Bremen,German Bundesliga,J14,37%,297 of 387 — 77%,3 of 9 — 33%,8 of 12 — 66%
Stuttgart,German Bundesliga,J14,63%,84% — 544 of 651,50% — 12 of 24,100% — 3 of 3
Atalanta,Italian Serie A,J9,56%,490 of 555 — 88%,3 of 17 — 18%,0 of 1 — 0%
Milan,Italian Serie A,J9,44%,83% — 363 of 439,17% — 1 of 6,66% — 2 of 3
Como,Italian Serie A,J9,70%,542 of 631 — 86%,5 of 15 — 33%,7 of 8 — 87%
Hellas Verona,Italian Serie A,J9,30%,63% — 174 of 276,62% — 8 of 13,40% — 2 of 5
Juventus,Italian Serie A,J9,57%,402 of 492 — 82%,9 of 23 — 39%,1 of 2 — 50%
Udinese,Italian Serie A,J9,43%,78% — 293 of 375,25% — 2 of 8,88% — 8 of 9
Roma,Italian Serie A,J9,61%,474 of 581 — 82%,6 of 18 — 33%,4 of 5 — 80%
Parma,Italian Serie A,J9,39%,73% — 276 of 379,63% — 5 of 8,66% — 4 of 6
Genoa,Italian Serie A,J9,54%,293 of 420 — 70%,1 of 16 — 6%,2 of 4 — 50%
Cremonese,Italian Serie A,J9,46%,64% — 228 of 356,36% — 4 of 11,100% — 1 of 1
Inter,Italian Serie A,J9,64%,518 of 611 — 85%,7 of 21 — 33%,2 of 2 — 100%
Fiorentina,Italian Serie A,J9,36%,78% — 273 of 349,20% — 2 of 10,71% — 5 of 7
Bologna,Italian Serie A,J9,71%,610 of 699 — 87%,2 of 11 — 18%,2 of 2 — 100%
Torino,Italian Serie A,J9,29%,68% — 193 of 284,25% — 2 of 8,100% — 2 of 2
Cagliari,Italian Serie A,J9,45%,284 of 373 — 76%,1 of 8 — 13%,2 of 4 — 50%
Sassuolo,Italian Serie A,J9,55%,82% — 367 of 448,33% — 4 of 12,0% — 0 of 1
Udinese,Italian Serie A,J1,62%,440 of 526 — 84%,4 of 14 — 29%,2 of 3 — 66%
Hellas Verona,Italian Serie A,J1,38%,72% — 231 of 321,33% — 3 of 9,75% — 3 of 4
Pisa,Italian Serie A,J9,40%,315 of 406 — 78%,2 of 10 — 20%,6 of 6 — 100%
Lazio,Italian Serie A,J9,60%,87% — 537 of 614,55% — 6 of 11,100% — 2 of 2
Udinese,Italian Serie A,J10,40%,298 of 371 — 80%,5 of 11 — 45%,0 of 0 — %
Atalanta,Italian Serie A,J10,60%,85% — 481 of 563,0% — 0 of 5,80% — 4 of 5
Napoli,Italian Serie A,J10,46%,344 of 425 — 81%,8 of 13 — 62%,1 of 1 — 100%
Como,Italian Serie A,J10,54%,85% — 427 of 503,8% — 1 of 13,100% — 8 of 8
Cremonese,Italian Serie A,J10,51%,422 of 511 — 83%,2 of 9 — 22%,3 of 5 — 60%
Juventus,Italian Serie A,J10,49%,81% — 404 of 500,33% — 5 of 15,50% — 1 of 2
Hellas Verona,Italian Serie A,J10,28%,190 of 277 — 69%,2 of 8 — 25%,4 of 5 — 80%
Inter,Italian Serie A,J10,72%,85% — 613 of 717,24% — 5 of 21,50% — 1 of 2
Torino,Italian Serie A,J10,64%,472 of 586 — 81%,3 of 15 — 20%,1 of 2 — 50%
Pisa,Italian Serie A,J10,36%,71% — 234 of 331,20% — 2 of 10,33% — 1 of 3
